"Treinamento","CATEGORIAS_1","(0: irrelevante ; 1: relevante ; 2: muito relevante)"
"coisas inúteis sobre mim
altura — 1,72
idade — 15
tamanho do pé — 38/39
signo — áries 
tatuagens — 0 ainda
piercing — 0
cor fav — azul, laranja e preto 
série fav — greys e sex education
animal fav — cachorro
comida fav — strogonoff/japa
bebida fav — coca cola https://t.co/whoabr40w3","2",""
"coisas inúteis sobre mim
altura — 1,55
idade — 19
tamanho do pé — 34/35
signo — peixes 
tatuagens — 7
piercing — 1
cor fav — rosa 
série fav —  grey's anatomy
animal fav — gato 
comida fav ー carninha assada 
bebida fav — coca cola https://t.co/i4vfxfgyfe","2",""
"@jihycoid coca-cola?kkkk","0",""
"rt @eholuan: só bebo coca cola agr, espero q me entendam amigos","1",""
"rt @ferrg__: já dizia meu irmão marco antônio vulgo gago: coca cola e 3 pedrinhas de gelo pra curar ressaca . 😪","1",""
"eu que fico com vontade das coisas do nda kkkkkkk agr deu maior vontade de beber coca cola","1",""
"ainda ganhei quase meio litro de coca cola 🥰","0",""
"coisas inúteis sobre mim

altura — não sei 
tamanho do pé — 39/40
signo — gêmeos
tatuagens — nenhuma 
piercing — nenhum 
cor fav — azul
série fav — vis a vis 
animal fav — 
comida fav — strogonoff
bebida fav — coca cola 
jogo fav — não tenho https://t.co/9sacz3uxga","2",""
"coisas inúteis sobre mim

altura — 1,83
idade — 18
tamanho do pé — 41/42
signo — câncer
tatuagens — 0
piercing — 0
cor fav — preto
série fav — lúcifer
animal fav — @laissilv_
comida fav ー tudo o que tem no churrasco 
bebida fav — coca cola https://t.co/v3rs1vk67h","2",""
"@brunobertiofcc eu ainda tomo coca cola, mas nesse dia eu n tomei mais n pq fiquei com medo","0",""
"coisas inúteis sobre mim:

altura — 1,60
idade — 
tamanho do pé — 37/38
signo — libra
tatuagens — 0 
piercing — 2
cor fav — azul e preto
série fav — outer banks e greysanat
animal fav _ doguinho
comida fav — esfiha/strogonoff
bebida fav — coca cola
jogo fav — nsei https://t.co/tpuxhjyetg","2",""
"cs gostam desse lacre de latinha da coca-cola? https://t.co/7ya6piagwo","0",""
"eu preciso parar de beber coca cola, essa porcaria vai me matar","1",""
"@dogmancaio_sa ele é péssimo e ainda reclama q eu tomo coca cola todo dia, chatão","0",""
"meu deus 120 pila em sete coca cola de dois litro eu to a beira de um colapso","2",""
"rt @maarioliveira19: eu queriaaaa conseguir parar de comer lanche e beber coca cola 😩😩😩😩😩","2",""
"coisas inúteis sobre mim

altura — 1,65
idade — 15
tamanho do pé — 35/36
signo — gêmeos 
tatuagens — 0
piercing — 0
cor fav — verde água 
série fav — grey's anatomy 
animal fav — dog
comida fav ー lasanha, estrogonofe 
bebida fav — coca cola
esporte fav — vôlei https://t.co/qhxsj4kxkt","2",""
"blackpink já fez parceria com a coca cola, sprite e agora com a pepsi... 

@guarana só falta você https://t.co/n8kt19b1vh","0",""
"rt @gracinhaasilva3: sede de coca cola bem gelada😣","1",""
"coisas inúteis sobre mim
altura — 1,63
idade — 20
tamanho do pé — 37
tatuagens — 3
piercing — 8 
cor fav — preto
série fav — grey's anatomy
animal fav — hipopótamo 🦛
comida fav ー sushi/whopper
bebida fav — coca cola

🥶 https://t.co/a2ciyygqsj","2",""
"coisas inúteis sobre mim

altura- 1,62 
tamanho do pé- 37/38 
signo- peixes
tatuagem- 0
piercing- 0
cor fav- preto 
série fav- friends 
animal fav- gato/cachorro
comida fav- várias
bebida fav- coca cola https://t.co/rvknwctkna","2",""
"coisas inúteis sobre mim
altura — 1,63
idade — 19
pé — 35
signo —não sei 
tatuagens — 0
piercing — 1
cor (es) fav — preto, roxo e amarelo 
série fav — friends, pll 
animal fav — cachorro
comida fav — hambúrguer 
bebida fav — coca cola com mt gelo 
jogo fav — nao tenho https://t.co/lndupfwvl1","2",""
"@uchisvoid @thomzxx aff kkkkkk ainda bem que nao sou da coca cola 🙏🏻🙏🏻","1",""
"nao é só coca cola doly também mata sede","1",""
"hj eu tomei cafe cm cuscuz 
almocei duaz vzs 
e comi dois hambúrguers e um litro de coca cola
sabe oq é isso? a força do odio movimentando meu apetite","0",""
"meu pai chegou aq em casa com sorvete e coca cola....perfeito p mim","1",""
"rt @bigodedact3: chinelo coca cola 😍
tamanho 35/36 https://t.co/0wfmxcndfp","0",""
"coisas inúteis sobre mim
altura — 1,63
idade — 19
tamanho do pé — 37/38
signo — leão
tatuagens — 0
piercing — 1
cor fav — azul
série fav — jane the virgin
animal fav — gato
comida fav ー fricassê
bebida fav — coca-cola https://t.co/isq7aomhxq","2",""
"@x3vyx mal como doce e coca-cola num tomo a anos 
o último refrigerante q tomei foi guaraná a uns 2 meses","0",""
"não posso te ver que eu te quero 

de:eu 
para:coca cola","2",""
"uma vontade imensa de beber uma coca cola bem gelada","2",""
"rt @citei_faveladaa: pessoas: coca-cola faz mal 

eu: https://t.co/4vke094tgv","0",""
"tomei quase 2 litros de coca-cola, pelo menos não foi 4 litros né #saudável","1",""
"rt @ohanacoffe: 🌴 ˓ pedido: bolo + coca cola + ursinho de pelúcia + cesta de chocolate

   › de: @ilovmyount 
   › para: @safesmaia  

✉️ ─…","0",""
"eu com coca cola https://t.co/3iqvgxqbt7","0",""
"coca cola light coca cola norrrmal e coca cola zezerooooo","0",""
"jantando miojo, steak de frango e coca cola 😍😍😍😍 geração saúde","1",""
"botei um filminho aqui e tô bebendo coca cola e comendo eu sou o homem mais feliz do mundo","1",""
"a latinha de coca-cola depois de eu pisar nela : https://t.co/14hjtwdhcv","0",""
"coisas inúteis sobre mim
altura — 1,79
idade — 17
tamanho do pé — 37/38
signo — libra
tatuagens — 3
piercing — 1
cor fav — rosa
série fav — gossip girl/pll
animal fav — cachorro/gato
comida fav ー frango borbulhante/brigadeiro 
bebida fav — coca cola/água 
jogo fav — free fire https://t.co/x5ubucac6d","2",""
"coisas inúteis sobre mim
altura — 1,58
idade — 16
tamanho do pé — 35
signo — aquario 
tatuagens — 0
piercing — 1
cor fav — todas 
série fav — awae 
animal fav — lontras 
comida fav ー batata 
bebida fav — coca cola 
jogo fav — nao sei https://t.co/kacj6xmr6p","2",""
"@elliaxx_sampaio gosto de mina novinha. 
foi comprar coca-cola e sacola não raspou mais não chão, o pai fuzila.","0",""
"preciso parar de tomar tanta coca-cola meu deus","1",""
"chau taeil te amo coca cola","2",""
"@favmigraine o importante é que todos são da coca-cola","1",""
"coisas inúteis sobre mim
altura — 1,77
idade — 30
tamanho do pé — 39
signo — virgem
tatuagens — 3
piercing — orelha
cor fav — preto
série fav — sons of anarchy
animal fav — cachorro
comida fav ー não consigo escolher
bebida fav — coca cola
jogo favorito - não sei https://t.co/tbvlnosn1s","2",""
"eu sou apaixonado por coca-cola! https://t.co/mjto5zxipl","2",""
"coisas inúteis sobre mim
altura — 1,55
idade — 16
tamanho do pé — 36
signo —  aquário
tatuagens — 3
piercing — 0
cor fav — azul
série fav —  barry, the office
animal fav — raposa 
comida fav — camarão 
bebida fav — coca cola","2",""
"fui lá no quarto do pessoal e peguei sanduíche e coca cola p mim e pras meninas, agora eu durmo em paz 🐳kkkk","1",""
"@ajxjxz mantenho ela com miojo e coca cola 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻","0",""
"@dannlelis pois é... quanto custa 5 lts. de coca  cola? r$ 23,00 ?","0",""
